row,disease,gene_symbol,candidate_drug,verdict,confidence,phase_this_disease,phase_other_disease,ema_status,disease_has_any_drug_record,source,ref,basis,note
3,Niemann-Pick disease type C,NPC1,miglustat,downstream_match,high,approved,approved,expired,yes,chembl,EU/3/06/351,"chembl_drug_indication.jsonl: {""efo_id"": ""EFO:1001380"", ""efo_term"": ""Niemann-Pick disease"", ""max_phase_for_ind"": ""4.0"", ""molecule_chembl_id"": ""CHEMBL1029"", ""parent_molecule_chembl_id"": ""CHEMBL1029"", ""indication_refs"": [{""ref_type"": ""EMA"", ""ref_id"": ""EMEA/H/C/000435""}]}","Broader term used: the phase-4 row is on 'Niemann-Pick disease' (EFO:1001380) and rests on the Zavesca EPAR EMEA/H/C/000435; Zavesca's authorisation covers Niemann-Pick type C, and the NPC-specific ChEMBL row (MONDO:0018982) is only phase 3 (NCT00517153, NCT01760564). EMA orphan designation EU/3/06/351, substance 'miglustat', intended use ""Treatment of Niemann-Pick's disease, type C"", Status 'Expired' - exact disease, and expiry after approval is evidence a product reached market. Open Targets also lists CHEMBL1029 / MONDO_0018982 Niemann-Pick disease type C APPROVAL. Other disease: Gaucher disease type 1 phase 4 (Orphanet:77259, same Zavesca EPAR). Other miglustat designations: EU/3/20/2349 neuronal ceroid lipofuscinosis 'Positive', EU/3/18/2129 Pompe disease 'Withdrawn'."
4,Fabry disease,GLA,migalastat,causal_match,high,approved,none,expired,yes,chembl,EU/3/06/368,"chembl_drug_indication.jsonl: {""efo_id"": ""MONDO:0010526"", ""efo_term"": ""Fabry disease"", ""max_phase_for_ind"": ""4.0"", ""molecule_chembl_id"": ""CHEMBL2107355"", ""parent_molecule_chembl_id"": ""CHEMBL110458"", ""indication_refs"": [{""ref_type"": ""ClinicalTrials"", ""ref_id"": ""NCT00214500,NCT00283933,NCT00283959,NCT00304512,NCT00526071,NCT00925301,NCT01196871,NCT01218659,NCT01458119,NCT01476163""}, {""ref_type"": ""DailyMed"", ""ref_id"": ""66dbd928-0f1c-48b1-a832-54e4abd9f1db""}, {""ref_type"": ""EMA"", ""ref_id"": ""EMEA/H/C/004059""}, {""ref_type"": ""FDA"", ""ref_id"": ""label/2018/208623lbl.pdf""}]}","Salt/parent handled: the approval row sits on CHEMBL2107355 (migalastat hydrochloride) whose parent_molecule_chembl_id is CHEMBL110458 (migalastat); the parent ID carries the phase-3 trial row. EMA orphan row is filed under the chemical name, not 'migalastat': '1-Deoxygalactonojirimycin hydrochloride', 'Treatment of Fabry disease', EU/3/06/368, Status 'Expired' - migalastat is 1-deoxygalactonojirimycin, and the expiry followed Galafold's authorisation. Other disease: neither ChEMBL nor Open Targets records migalastat in any disease other than Fabry disease."
5,phenylketonuria,PAH,sapropterin,causal_match,high,approved,trial,withdrawn,yes,chembl,EU/3/05/308,"chembl_drug_indication.jsonl: {""efo_id"": ""MONDO:0009861"", ""efo_term"": ""phenylketonuria"", ""max_phase_for_ind"": ""4.0"", ""molecule_chembl_id"": ""CHEMBL1201775"", ""parent_molecule_chembl_id"": ""CHEMBL1201774"", ""indication_refs"": [{""ref_type"": ""ClinicalTrials"", ""ref_id"": ""NCT00104247,NCT00104260,NCT00225615,NCT00272792,NCT00332189,NCT00789568,NCT00838435,NCT00841100,NCT01114737,NCT01395394,NCT01617070""}, {""ref_type"": ""DailyMed"", ""ref_id"": ""af38711e-8873-4790-a92d-4d583e23fb89""}, {""ref_type"": ""EMA"", ""ref_id"": ""EMEA/H/C/000943""}, {""ref_type"": ""EMA"", ""ref_id"": ""EMEA/H/C/005646""}]}","Approval row cites the Kuvan EPAR EMEA/H/C/000943 and sapropterin-dipharma EMEA/H/C/005646. Salt/parent: record sits on CHEMBL1201775 (sapropterin dihydrochloride), parent CHEMBL1201774. EMA: the only sapropterin designation is EU/3/05/308 'Treatment of hyperphenylalaninaemia', Status 'Withdrawn' - a broader term that contains phenylketonuria, and it is recorded withdrawn even though the EPAR cited by ChEMBL shows Kuvan was authorised; I did not merge that into 'expired'. Other disease: no phase-4 record outside phenylketonuria/hyperphenylalaninemia; highest elsewhere is trial stage (Open Targets: ADHD PHASE_3, depressive disorder PHASE_3; ChEMBL: autism, Lesch-Nyhan, cirrhosis, sickle cell anemia at phase 2)."
6,tyrosinemia type I,FAH,nitisinone,downstream_match,high,approved,trial,expired,yes,chembl,EU/3/00/012,"chembl_drug_indication.jsonl: {""efo_id"": ""MONDO:0004741"", ""efo_term"": ""tyrosinemia"", ""max_phase_for_ind"": ""4.0"", ""molecule_chembl_id"": ""CHEMBL1337"", ""parent_molecule_chembl_id"": ""CHEMBL1337"", ""indication_refs"": [{""ref_type"": ""ClinicalTrials"", ""ref_id"": ""NCT01734889,NCT02323529,NCT02750332,NCT02750345,NCT02750709""}, {""ref_type"": ""EMA"", ""ref_id"": ""EMEA/H/C/000555""}, {""ref_type"": ""EMA"", ""ref_id"": ""EMEA/H/C/004582""}]}","Broader term used: ChEMBL's phase-4 row is on 'tyrosinemia' (MONDO:0004741), not on tyrosinemia type I; it rests on the Orfadin (EMEA/H/C/000555) and Nityr (EMEA/H/C/004582) EPARs, whose indication is hereditary tyrosinaemia type 1. The EMA designation is exact: 'nitisinone', 'Treatment of tyrosinaemia type 1', EU/3/00/012, Status 'Expired'. Open Targets carries CHEMBL1337 / MONDO_0010161 tyrosinemia type I but with maxClinicalStage UNKNOWN. Other disease: alkaptonuria phase 3. Other designation: EU/3/02/096 alkaptonuria 'Withdrawn'."
8,tuberous sclerosis,TSC1,sirolimus,causal_match,medium,approved,approved,positive,yes,chembl,EU/3/17/1910,"chembl_drug_indication.jsonl: {""efo_id"": ""HP:0009720"", ""efo_term"": ""Adenoma sebaceum"", ""max_phase_for_ind"": ""4.0"", ""molecule_chembl_id"": ""CHEMBL413"", ""parent_molecule_chembl_id"": ""CHEMBL413"", ""indication_refs"": [{""ref_type"": ""EMA"", ""ref_id"": ""EMEA/H/C/005896""}]}","The approval is narrow: EMEA/H/C/005896 is Hyftor, topical sirolimus gel for facial angiofibroma (adenoma sebaceum) associated with tuberous sclerosis - one manifestation of TSC, and ChEMBL files it under mesh_heading 'Tuberous Sclerosis'. ChEMBL's separate phase-4 row on MONDO:0001734 'tuberous sclerosis' is not itself approval evidence: it cites only NCTs, and I opened NCT00126672 - 'A Phase II Multi-Center Study of Rapamycin for Treating Kidney Angiomyolipomas in TSC or LAM Patients' (PHASE2, completed, n=36) - so systemic sirolimus in TSC is trial stage and the phase-4 tag there is the molecule's maximum phase. EMA: EU/3/17/1910, substance 'sirolimus', 'Treatment of tuberous sclerosis', Status 'Positive', medicine Hyftor - closest to this disease; two further sirolimus TSC designations EU/3/17/1886 and EU/3/15/1557 are also 'Positive'. Other disease: approved for kidney transplant rejection prophylaxis (EFO:0010134 phase 4, Rapamune EMEA/H/C/000273)."
7,alkaptonuria,HGD,nitisinone,downstream_match,high,trial,approved,withdrawn,yes,chembl,NCT01916382,"chembl_drug_indication.jsonl: {""efo_id"": ""MONDO:0008753"", ""efo_term"": ""alkaptonuria"", ""max_phase_for_ind"": ""3.0"", ""molecule_chembl_id"": ""CHEMBL1337"", ""parent_molecule_chembl_id"": ""CHEMBL1337"", ""indication_refs"": [{""ref_type"": ""ClinicalTrials"", ""ref_id"": ""NCT00107783,NCT01390077,NCT01828463,NCT01916382""}]}","Read NCT01916382 (SONIA 2): 'An International, Multicentre, Randomised, Evaluator-blind, No-treatment Controlled, Parallel-group Study to Assess the Efficacy and Safety of Once Daily Nitisinone in Patients With Alkaptonuria', PHASE3, n=140, sponsor University of Liverpool, completed 2020 - a genuine treatment trial in this disease, not a trap record. No approval for alkaptonuria appears in these sources: Open Targets also gives PHASE_3, and the EMA designation 'nitisinone', 'Treatment of alkaptonuria', EU/3/02/096 is Status 'Withdrawn' (last updated 01/04/2020). Other disease: tyrosinemia, approved. Caveat from my own knowledge, not from these sources: a nitisinone product for alkaptonuria may have been authorised in the EU around 2020, which these files do not reflect."
39,glycogen storage disease II,GAA,albuterol,downstream_match,medium,trial,approved,none,yes,ctgov,NCT01885936,"ClinicalTrials.gov NCT01885936: ""A Phase 1/2 Double-Blind Study of the Safety and Efficacy of Albuterol on Motor Function in Individuals With Late-onset Pompe Disease Receiving Enzyme Replacement Therapy"" (conditions: Pompe Disease; interventions: Albuterol, Placebo; sponsor Duke University; PHASE1/PHASE2, COMPLETED, n=16, healthy_volunteers: No)","Albuterol = CHEMBL714. ChEMBL row: {""molecule_chembl_id"": ""CHEMBL714"", ""efo_id"": ""Orphanet:365"", ""efo_term"": ""Glycogen storage disease due to acid maltase deficiency"", ""mesh_heading"": ""Glycogen Storage Disease Type II"", ""max_phase_for_ind"": ""1.0"", ""indication_refs"": [{""ref_id"": ""NCT01859624,NCT01885936""}]}. Both cited trials were read: NCT01859624 (phase 1, n=8) and NCT01885936 (phase 1/2, n=16) are genuine treatment trials of albuterol in late-onset Pompe patients - albuterol is being tested as an adjunct that raises CI-MPR-mediated uptake of enzyme replacement therapy, not as a bronchodilator premedication. Other disease: approved for asthma and COPD (opentargets clinical_indication CHEMBL714 / MONDO_0004979 APPROVAL). No EMA orphan designation for albuterol; the only salbutamol-like row in the file is EU/3/07/481 ""R-salbutamol sulfate"" for cutaneous lupus, a different substance."
44,Riley-Day syndrome,ELP1,carbidopa,downstream_match,medium,trial,approved,none,yes,ctgov,NCT01212484,"ClinicalTrials.gov NCT01212484: ""Carbidopa for the Treatment of Nausea and Vomiting in Familial Dysautonomia"" (condition Familial Dysautonomia; interventions Carbidopa, Placebo; sponsor NYU Langone Health; PHASE3, COMPLETED, n=12)","Riley-Day syndrome = familial dysautonomia; carbidopa = CHEMBL1200748, parent CHEMBL1201236. ChEMBL carries two rows, both phase 3 and both genuine treatment trials in this disease: Orphanet:1764 ""Familial dysautonomia"" NCT01212484 and MONDO:0009131 ""Riley-Day syndrome"" NCT02553265 (""Carbidopa in Familial Dysautonomia: Phase-II Study, IND 117435"", PHASE2, COMPLETED, n=22). Carbidopa is given here as a peripheral decarboxylase inhibitor to blunt the dopamine surges that drive dysautonomic crises - it treats the disease, it is not a premedication. Other disease: approved for Parkinson disease (opentargets clinical_indication CHEMBL1200748 / MONDO_0005180 APPROVAL). EMA: carbidopa's only designation is EU/3/01/035 ""levodopa;carbidopa"", Intended use ""Treatment of advanced idiopathic Parkinson's disease with severe motor fluctuations"", Status Withdrawn - a different disease and a combination substance, so none for this row."
46,Riley-Day syndrome,ELP1,ipratropium bromide,symptomatic,medium,trial,approved,none,yes,ctgov,NCT01987219,"ClinicalTrials.gov NCT01987219: ""The Effects of Bronchodilator Therapy On Respiratory and Autonomic Function in Patients With Familial Dysautonomia"" (condition Familial Dysautonomia; interventions Albuterol-sulphate, Ipratropium-bromide, placebo; sponsor NYU Langone Health; PHASE3, COMPLETED, n=15)","Ipratropium bromide = CHEMBL2134724, parent CHEMBL1621597. The single ChEMBL row ({""efo_id"": ""Orphanet:1764"", ""efo_term"": ""Familial dysautonomia"", ""max_phase_for_ind"": ""3.0"", ""indication_refs"": [{""ref_id"": ""NCT01987219""}]}) cites this trial, which was read: ipratropium is one of the two active arms, given to patients with familial dysautonomia to treat their restrictive/obstructive respiratory and autonomic dysfunction. It is a treatment arm, not a probe or premedication, so this counts as trial. Other disease: approved for asthma, COPD and chronic bronchitis (opentargets clinical_indication CHEMBL2134724 / MONDO_0004979 APPROVAL). No EMA orphan designation for ipratropium (0 rows)."
48,Riley-Day syndrome,ELP1,albuterol,symptomatic,medium,trial,approved,none,yes,ctgov,NCT01987219,"ClinicalTrials.gov NCT01987219: ""The Effects of Bronchodilator Therapy On Respiratory and Autonomic Function in Patients With Familial Dysautonomia"" (condition Familial Dysautonomia; interventions Albuterol-sulphate, Ipratropium-bromide, placebo; sponsor NYU Langone Health; PHASE3, COMPLETED, n=15)","Same trial as row 46, other active arm. Albuterol = CHEMBL714; ChEMBL row {""molecule_chembl_id"": ""CHEMBL714"", ""efo_id"": ""Orphanet:1764"", ""efo_term"": ""Familial dysautonomia"", ""max_phase_for_ind"": ""3.0"", ""indication_refs"": [{""ref_id"": ""NCT01987219""}]}. Albuterol-sulphate is an active treatment arm in familial dysautonomia patients, so trial. Other disease: approved for asthma and COPD. No EMA orphan designation for albuterol (see row 39)."
